Item Name, Qty, Price (total GBP), Link
5/10/20/50/100pc JST PH 2.0mm 2Pin Terminal Wire Micro 10cm 3239 22AWG Silicon High Temp Male Plug Cable 2-core Tinned Connector, 1, 1.83, https://www.aliexpress.com/item/1005009692839155.html
SanDisk 128GB Ultra microSDXC card + SD adapter, 1, 22.99, https://www.amazon.co.uk/SanDisk-128GB-microSDXC-adapter-Performance/dp/B0B7NTY2S6
10PCS SMD Self Elastic TF Card Holder Reader Card Holder Push Type 9pin Double Pressure External Welding TF Card Slot, 1, 3.54, https://www.aliexpress.com/item/1005010534403296.html
503450 3.7V 1000mAh Polymer Lithium Rechargeable Battery with JST PH2.0 Plug High Capacity for Camera GPS Navigator MP5 Headset, 2, 5.44, https://www.aliexpress.com/item/1005012823920013.html
100pcs 0805 50V SMD Thick Film Chip Multilayer Ceramic Capacitor 10nF, 1, 1.06, https://www.aliexpress.com/item/1005006142309480.html
100pcs 0805 50V SMD Thick Film Chip Multilayer Ceramic Capacitor 10uF, 1, 1.10, https://www.aliexpress.com/item/1005006142309480.html
100pcs 0805 SMD Resistor Accuracy 1% 1/8W 1K ohm, 1, 0.89, https://www.aliexpress.com/item/1005005580397963.html
50pcs/lot 6x6x4.3MM 4PIN G89 Tactile Tact Push Button Micro Switch Direct Plug-in Self-reset DIP Top Copper, 1, 1.50, https://www.aliexpress.com/item/32815969627.html
SS12D10 SS12D06 Toggle Switch Straight / Right Angle 3 Pin 1P2T Handle High Slide Toggle Switches, 5, 1.11, https://www.aliexpress.com/item/1005006258365679.html
5pcs EC11 30 Position Encoder Switch With Push Button Switch Rotary Encoder Code Switch 5pin Plug-in Type 15mm Half Shaft, 1, 1.72, https://www.aliexpress.com/item/1005006685783293.html
20PCS 3.5mm Headphone Jack PJ-327A PJ327A PJ-327 Audio Jack 5 Pin SMD SMT MP3 Accessories PJ-327A High Quality, 1, 1.32, https://www.aliexpress.com/item/4000661858732.html
1.3" IPS LCD Display Module (240x240), 1, 9.20, https://thepihut.com/products/1-3-ips-lcd-display-module-240x240
Raspberry Pi Pico2W without headers, 1, 6.70, https://thepihut.com/products/raspberry-pi-pico-2-w?variant=54063378727297



Total Cost:,58.4 GBP, ~80 USD
